Manufacturer,Model,SystemID,Security Level
2014,,6616,L3
2014,,6617,L3
AAI,TTDISPLAY1,6276,L1
AAI,TTDISPLAY3,6277,L3
AAI,TTDISPLAY3,6385,L3
Acer - WindRiver,,26268,L1
Acer,A1-820,4405,L1
Acer,A1-830,5145,L1
Acer,A2-810,5288,L1
Acer,AA3-600,4418,L1
Acer,AA3-613,4408,L1
ACER,ACER_A720_TEGRA33_ANDROID_2013,270,L1
ACER,ACER_A721_TEGRA33_ANDROID_2013,271,L1
ACER,ACER_ANDRIOD_NVIDIA_T20_TABLET_FACTORY_2012,118,L1
ACER,ACER_ANDRIOD_NVIDIA_T30_TABLET_FACTORY_2012,119,L1
ACER,ACER_INTELZ2460_ANDROID_2013,304,L1
Acer,acer_jetfire,6551,L1
Acer,acer_jetfirefhd,7327,L1
Acer,acer_Titan,7498,L1
Acer,citizen,5972,L1
Acer,DA222HQL,4296,L1
Acer,da222hqla,5484,L1
Acer,DA223HQL,4379,L1
Acer,DA241HL,4211,L1
Acer,DA242HL,4295,L1
Acer,da245hql,5421,L1
Acer,DA3_N5_M5_215,4337,L1
Acer,ducati2fhd,5571,L1
Acer,ducati2hd,5667,L1
ACER,H6800a,20424,L1
Acer,M32200,4297,L1
Acer,M32400,4298,L1
Acer,N32200,4299,L1
Acer,N32400,4300,L1
Acer,omega,6107,L1
Acer,rolex,6283,L1
Acer,S520,4202,L1
Acer,TA232HL,4321,L1
Acer,TA272HL,4323,L1
Acer,TA272HUL,4322,L1
Acer,vespa,5399,L1
Acer,vespa,5780,L1
Acer,vespa8,5756,L1
Acer,vespatn,5547,L1
Acer,vespatn,5781,L1
ActiveVideo,,14429,L3
ActiveVideo,,6163,L3
ActiveVideo,Stitcher,9004,L3
Activevideo,Stitcher.Stitcher:GX,6645,L3
ActiveVideo,Stitcher/Stitcher.GX,6659,L3
ActiveVideo,Stitcher/Stitcher:GX,6482,L3
ActiveVideo,Stitcher/Stitcher:GX,6483,L3
Activevideo,Stitcher/Stitcher:GX,6497,L3
ActiveVideo,Stitcher/Stitcher:GX,6500,L3
ActiveVideo,Stitcher/Stitcher:GX,7280,L3
ActiveVideo,Stitcher/Stitcher:GX,7987,L3
ActiveVideo,Stitcher/Stitcher:GX,8208,L3
ActiveVideo/Internal,Stitcher/Stitcher:GX,6111,L3
ADB,ADB2670WF,7830,L1
ADB,ADB2675STWFV,15717,L1
ADB,Development,7809,L1
ADB,TNR3770CF,7462,L1
Advanced Micro Devices Inc.,Ryzen 2xxx,17812,L1
AEC by CAT,MKT-2018-4,6861,L1
AERQ,,24441,L3
Aikeweida,MX9,12294,L1
Aikeweida,MXQ-4K,11947,L1
Aikeweida,OVO-K1,18554,L1
Airties,,23770,L3
AirTies,Air7410X-Siminn,7105,L3
AirTies,Air7410X-WAOO,7104,L3
Airties,Air7415,8018,L1
AIS,GK-MP1129,7454,L1
Albis,,9829,L3
Alibaba,Alibaba-338-1G,7378,L1
Alibaba,alibaba-338-1G-public,7199,L1
Alibaba,Alibaba-338-512M,7379,L1
Alibaba,Alibaba-638-1G,7381,L1
Alibaba,Alibaba-638-768M,7380,L1
Alicast,,13763,L3
Allwinner,octopus-masu,6459,L1
Aloys,FORMULER Z11 PRO,25083,L1
Alpine,,16511,L1
alps,fih35_tb_dt12_kk,5316,L1
alps,k2v1_tee,5763,L1
alps,K6795V1_64_TEE,5973,L1
alps,mt6582_phone_qhd,5132,L1
alps,mt6582_phone_qhd_tee,5285,L1
alps,mt6582_phone_v1_2,5130,L1
alps,mt6582_tablet_evbp1,5161,L1
alps,mt6582_tablet_evbp2,5162,L1
alps,mt6582lte_phone_qhdte,5282,L1
alps,mt6582lte_phone_v1,5137,L1
alps,mt6582lte_tdd_phone_v1,5131,L1
alps,mt6582tdv1_phone,5133,L1
Alps,mt6589_phone_qhdv2,4247,L1
alps,mt6592_phone_720p,5134,L1
alps,mt6592_phone_720p_tee,5283,L1
alps,mt6592_phone_fhd,5135,L1
alps,mt6592_phone_fhd_tee,5284,L1
alps,mt6592_tablet_p1_v1,5163,L1
Alps,mt6592LTE,5497,L1
alps,mt6592lte_phone_fhdte,5336,L1
alps,mt6592lte_phone_v2te,5337,L1
alps,mt6592lte_phone_v3te,5338,L1
alps,mt6592tdv1_phone,5136,L1
alps,mt6595_evb_tee,5461,L1
alps,mt6595_phone_v1_tee,5462,L1
alps,mt8127_tablet_p1_v1,5339,L1
alps,mt8127_tablet_p4_v1,5340,L1
alps,mt8135_evbp1,4310,L1
alps,mt8135_evbp1_v2,4318,L1
alps,mt8135_evbp1_v2_svp,5409,L1
alps,mt8135_tablet_htt_v1,5315,L1
Alps,mt8389_tablet_a3v2,4246,L1
ALTICE-US,DCIWA384UHDAltUs,6910,L1
Amazon,,13422,L3
Amazon,,15380,L1
Amazon,,16462,L1
Amazon,,16878,L1
Amazon,,17592,L1
Amazon,,17593,L1
Amazon,,17975,L1
Amazon,,18538,L1
Amazon,,18782,L3
Amazon,,18783,L3
Amazon,,18882,L1
Amazon,,19527,L1
Amazon,,19529,L1
Amazon,,20299,L1
Amazon,,21858,L1
Amazon,,24608,L1
Amazon,,24624,L1
Amazon,,24783,L1
Amazon,,24875,L1
Amazon,,25205,L1
Amazon,,25344,L1
Amazon,,25517,L1
Amazon,,25794,L1
Amazon,,25795,L1
Amazon,,26125,L1
Amazon,,26127,L1
Amazon,,26129,L1
Amazon,,26202,L1
Amazon,,26203,L1
Amazon,,9780,L3
Amazon,AEOBP,8758,L1
Amazon,AEOCH,13496,L1
Amazon,AEOCW,13812,L1
Amazon,AEOKN,6939,L1
AMAZON,AEORK,7404,L1
Amazon,AFTA/AFTA,7348,L1
Amazon,AFTBAMR311/AFTBAMR311,8076,L1
Amazon,AFTEAMR311/AFTEAMR311,8075,L1
Amazon,AFTEU011,13882,L1
Amazon,AFTEU014,13045,L1
Amazon,AFTEU014/Greta-MP,15576,L1
Amazon,AFTJMST12/AFTJMST12,8123,L1
Amazon,AFTKMST12/AFTKMST12,7766,L1
Amazon,AFTLE,14823,L1
Amazon,AFTLE,9289,L1
Amazon,AFTLE002,11928,L1
Amazon,AFTMM,14100,L1
AMAZON,AFTMM/AFTMM/AFTN,8415,L1
Amazon,AFTN,7296,L1
Amazon,AFTN/AFTN,7637,L1
Amazon,AFTR/Raven-Prod,16914,L1
Amazon,AFTRS/AFTRS/AFTKMST12,6948,L1
Amazon,AFTS,6164,L1
Amazon,AFTS,6331,L1
Amazon,AFTSO001,12064,L1
Amazon,AFTSO001-MP,14670,L1
Amazon,AFTT/AFTT,6590,L1
Amazon,AFTT/Tank-Prod2,16384,L1
Amazon,Alexa-Test-R,18784,L3
Amazon,Alexa-x86_64,18220,L3
Amazon,Almond,23228,L1
